"Function","Keyboard current","Keyboard recommendation","Keyboard user notes","Mouse current","Mouse recommendation","Mouse user notes","Keyboard + mouse current","Keyboard + mouse recommendation","Keyboard + mouse user notes","Trackpad current","Trackpad recommendation","Trackpad user notes","Touchscreen current","Touchscreen recommendation","Touchscreen user notes"
"Canvas navigation between nodes","Tab cycles major panes; arrows move keyboard focus between canvas nodes; Enter activates selected node; Ctrl+Enter opens parameters.","Keep Tab/arrows/Enter behavior. Add visible focus ring and optional shortcut help overlay.","","Click selects nodes; drag empty canvas selects multiple nodes; scrollbars pan canvas.","Keep click/drag. Add mouse-wheel canvas pan conventions once viewer conventions are settled.","","Ctrl-click on a wire removes it; keyboard focus can combine with Enter/Ctrl+Enter.","Keep Ctrl-click wire deletion. Consider Shift-click to add/remove node from selection.","","Native scrolling through canvas scroll views via OS/Flutter.","Support two-finger pan naturally; consider Ctrl+trackpad pinch or scroll for canvas zoom if canvas zoom is added.","","No explicit touch canvas gestures.","One-finger pan canvas; tap select; long-press context menu; two-finger pinch if canvas zoom is added.",""
"Time-domain vertical scroll through channels","No dedicated keyboard shortcut in raw viewer.","Add Up/Down or PageUp/PageDown for channel/page scroll when viewer has focus.","","Mouse wheel over trace scrolls vertically through channels.","Keep wheel vertical channel scroll. Add stronger visual feedback showing channel range.","","No modifier needed for vertical scroll; modifiers repurpose wheel for zoom/scale/horizontal scroll.","Keep plain wheel as vertical scroll because it is predictable.","","Two-finger vertical scroll maps to pointer scroll and scrolls channels.","Keep. Tune scroll speed separately from mouse wheel if Flutter exposes useful signal characteristics.","","No explicit touch support.","One-finger vertical drag scrolls channels; inertia should feel native.",""
"Time-domain horizontal scroll through time","No dedicated keyboard shortcut in raw viewer.","Add Left/Right for small time shift; Shift+Left/Right for larger jumps; Home/End to start/end.","","Horizontal scrollbar is available; some devices may send horizontal wheel delta.","Keep scrollbar. Add grab-and-drag timeline or minimap scrubber.","","Shift+mouse wheel scrolls horizontally through time.","Keep Shift+wheel horizontal scroll. Add tooltip/shortcut hint in scale cluster.","","Shift+two-finger scroll works if modifier is held; native horizontal two-finger scroll may work when dx is emitted.","Support native horizontal two-finger scroll without requiring Shift when dx dominates.","","No explicit touch support.","One-finger horizontal drag pans time when gesture starts in trace area; two-finger pan can preserve channel/time distinction.",""
"Time-domain x zoom / time span","No dedicated keyboard shortcut.","Add +/- for zoom around viewport center; Ctrl+Left/Right to shrink/expand time span; maybe number keys for presets.","","Scale pill menu can select fixed time spans.","Keep pill presets. Add direct text entry for exact span later.","","Ctrl+mouse wheel zooms time around pointer by changing window_sec.","Keep Ctrl+wheel anchored zoom. Consider making zoom factor configurable or slightly gentler.","","Ctrl+two-finger scroll works as pointer-scroll zoom; true pinch not explicitly handled.","Support trackpad pinch for time zoom if available; otherwise keep Ctrl+scroll.","","No explicit pinch support.","Pinch horizontally to zoom time around gesture midpoint; double-tap axis to reset.",""
"Time-domain y scale / signal range","No dedicated keyboard shortcut.","Add [ and ] or Alt+Up/Down for signal range steps; 0 resets to auto/default.","","Scale pill menu can select fixed uV ranges; wheel over pill steps options.","Keep pill menu. Add axis drag or scale-handle affordance later.","","Alt+mouse wheel steps amplitude scale through predefined y_scale_uv options.","Keep Alt+wheel. Add on-screen hint near Scale controls.","","Alt+two-finger scroll works as pointer-scroll scale step.","Keep. Consider smoother continuous scaling for trackpads rather than discrete steps.","","No explicit touch support.","Two-finger vertical pinch or drag on y-axis area adjusts signal range; double-tap y-axis resets.",""
"Automatic channel spacing","Spacing is automatic and derived from signal range and visible data; no keyboard control.","Keep automatic as default. Add optional manual override only if users need it later.","","Displayed as noninteractive 'Spacing: Auto'.","Keep noninteractive auto label for now; eventually allow toggle between Auto and Manual.","","No modifier; indirectly changes when y scale changes.","Keep indirect coupling: channel spacing should follow amplitude to use vertical space well.","","Follows y scale and current data behavior.","Keep automatic. Ensure it updates without layout jank during smooth trackpad gestures.","","No explicit touch support.","Keep automatic. If manual override arrives, expose as simple pinch/slider in a touch-friendly sheet.",""
"Time-domain marker/time jump","No dedicated keyboard shortcut.","Add shortcut to focus marker list; Enter on marker jumps; second Enter centers selected marker.","","Click marker instances in right panel jumps to them; second click centers if already visible.","Keep second-click center behavior. Add minimap marker navigation later.","","Mouse plus keyboard not required; Alt-drag creates alternate artifact labels in artifact detection.","Keep Alt-drag for label menu; consider keyboard-accessible equivalent.","","Trackpad click behaves like mouse click.","Keep. Ensure two-finger scroll in marker panel scrolls panel, not trace.","","No explicit touch support.","Tap marker row to jump; second tap centers; long press opens marker actions.",""
"Segment viewer vertical scroll across marker panels","No dedicated keyboard shortcut.","Add Up/Down and PageUp/PageDown to scroll all marker panels together.","","Mouse wheel scrolls segment content; marker panels are linked so one panel scrolls all together.","Keep linked vertical scroll. Add visible 'linked scroll' affordance if it becomes confusing.","","No modifier needed for vertical segment scroll.","Keep plain wheel vertical scroll.","","Two-finger vertical scroll should use linked scroll controllers.","Keep and tune for speed; preserve linked behavior.","","No explicit touch support.","One-finger vertical drag scrolls all marker panels together.",""
"Segment viewer horizontal scroll within plots","No dedicated keyboard shortcut.","Add Left/Right for time pan within segment plots; Shift+Left/Right for larger step.","","Horizontal scrollbar appears when time zoom exceeds panel width.","Keep scrollbar. Add drag-to-pan inside plot background.","","Shift+mouse wheel scrolls horizontally inside segment plot tiles.","Keep Shift+wheel horizontal scroll; make behavior match raw viewer exactly.","","Shift+two-finger scroll works; native horizontal delta may not be fully honored.","Support native horizontal two-finger scroll when dx dominates.","","No explicit touch support.","One-finger horizontal drag pans time within segment plots; two-finger pan can disambiguate from page scroll.",""
"Segment viewer x zoom / time zoom","No dedicated keyboard shortcut.","Add +/- for time zoom when segment viewer has focus; 0 reset.","","No direct mouse-only zoom control visible beyond current UI controls.","Add compact zoom pill or axis gesture if users need discoverability.","","Ctrl+mouse wheel changes segmented_time_zoom from 1x to 8x.","Keep Ctrl+wheel. Anchor zoom to pointer if practical, not just scale width.","","Ctrl+two-finger scroll works as pointer-scroll zoom.","Support trackpad pinch for time zoom if available.","","No explicit touch support.","Horizontal pinch zooms segment time axis; double-tap resets.",""
